title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Yuru Camp△,219,8.32,83765,523,3958,200950,TV,12,Finished Airing,Winter 2018,C-Station,Manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy"
Gintama: Shiroyasha Koutan,220,8.31,21981,2034,78,43508,Special,1,Finished Airing,"Sep 21, 2008",Sunrise,Manga,"Sep 21, 2008","Action,Sci-Fi,Comedy,Historical,Parody"
Gyakkyou Burai Kaiji: Ultimate Survivor,221,8.31,88307,563,6095,187783,TV,26,Finished Airing,Fall 2007,Madhouse,Manga,R - 17+ (violence & profanity),"Game,Psychological,Thriller,Seinen"
Hajime no Ippo: Champion Road,222,8.31,48936,1337,179,79083,Special,1,Finished Airing,"Apr 18, 2003",Madhouse,Manga,"Apr 18, 2003","Comedy,Shounen,Sports"
Kuroko no Basket,223,8.3,349316,90,16746,598040,TV,25,Finished Airing,Spring 2012,Production I.G,Manga,PG-13 - Teens 13 or older,"Comedy,School,Shounen,Sports"
Mobile Suit Gundam: The Origin,224,8.3,11588,2169,403,39657,OVA,6,Finished Airing,"Apr 24, 2015 to May 5, 2018",Sunrise,Manga,"Apr 24, 2015 to May 5, 2018","Action,Mecha,Military,Sci-Fi,Shounen,Space"
Natsume Yuujinchou Roku Specials,225,8.31,9309,2962,37,22585,Special,2,Finished Airing,"Sep 27, 2017 to Oct 25, 2017",Shuka,Manga,"Sep 27, 2017 to Oct 25, 2017","Slice of Life,Demons,Supernatural,Drama,Shoujo"
Nodame Cantabile: Finale,226,8.31,53596,1102,393,96603,TV,11,Finished Airing,Winter 2010,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Comedy,Josei,Music,Romance"
Redline,227,8.31,113329,521,3127,201865,Movie,1,Finished Airing,"Aug 14, 2009",Madhouse,Original,"Aug 14, 2009","Action,Sci-Fi,Cars,Sports"
Fate/stay night: Unlimited Blade Works,228,8.3,326331,111,9822,538032,TV,12,Finished Airing,Fall 2014,ufotable,Visual novel,R - 17+ (violence & profanity),"Action,Fantasy,Magic,Supernatural"
Hachimitsu to Clover II,229,8.3,42373,1317,908,80232,TV,12,Finished Airing,Summer 2006,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Drama,Josei,Romance,Slice of Life"
Hibike! Euphonium 2,230,8.3,63078,874,1770,126199,TV,13,Finished Airing,Fall 2016,Kyoto Animation,Novel,PG-13 - Teens 13 or older,"Music,School,Drama"
Higurashi no Naku Koro ni Kai,231,8.3,165603,305,5708,312353,TV,24,Finished Airing,Summer 2007,Studio Deen,Visual novel,R - 17+ (violence & profanity),"Mystery,Psychological,Supernatural,Thriller"
Hinamatsuri,232,8.3,119213,397,2386,244166,TV,12,Finished Airing,Spring 2018,feel.,Manga,PG-13 - Teens 13 or older,"Comedy,Sci-Fi,Seinen,Slice of Life,Supernatural"
Initial D First Stage,233,8.3,80046,682,4771,158331,TV,26,Finished Airing,Spring 1998,Gallop,Manga,PG-13 - Teens 13 or older,"Action,Cars,Drama,Seinen,Sports"
Ouran Koukou Host Club,234,8.3,380837,85,26153,627139,TV,26,Finished Airing,Spring 2006,Bones,Manga,PG-13 - Teens 13 or older,"Comedy,Harem,Romance,School,Shoujo"
ReLIFE: Kanketsu-hen,235,8.3,80188,718,755,151383,Special,4,Finished Airing,"Mar 21, 2018",TMS Entertainment,Web manga,"Mar 21, 2018","Romance,School,Slice of Life"
SKET Dance,236,8.3,50860,713,2744,152690,TV,77,Finished Airing,Spring 2011,Tatsunoko Production,Manga,PG-13 - Teens 13 or older,"Comedy,School,Shounen"
Tokyo Godfathers,237,8.3,77114,705,1284,153407,Movie,1,Finished Airing,"Nov 8, 2003",Madhouse,Original,"Nov 8, 2003","Comedy,Drama"
Bakuman.,238,8.29,195610,199,7777,398277,TV,25,Finished Airing,Fall 2010,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Comedy,Drama,Romance,Shounen"
